49, 4, 9, 17, 10, 43, 16
6, 39, 32, 4, 7, 2, 37
46, 18, 47, 35, 3, 1, 14
3, 29, 10, 39, 49, 22, 38
29, 44, 37, 19, 26, 38, 23
19, 43, 20, 15, 8, 37, 4
20, 29, 40, 42, 17, 25, 24
5, 10, 3, 6, 1, 32, 18
26, 22, 20, 30, 46, 7, 6
29, 22, 16, 31, 21, 17, 45
33, 40, 20, 48, 34, 7, 28
28, 8, 34, 25, 24, 10, 23
46, 6, 34, 17, 33, 29, 47
48, 28, 29, 36, 46, 19, 9
49, 30, 31, 38, 10, 28, 15
12, 2, 33, 5, 17, 49, 4
23, 4, 46, 11, 33, 31, 19
13, 44, 9, 21, 31, 22, 37
28, 34, 13, 8, 22, 15, 3
46, 13, 44, 37, 45, 19, 17
20,37,32,01,11,06,36
42,24,02,22,47,21,26
44,23,45,30,19,08,26
43,31,36,11,37,27,06
35,29,41,33,01,49,46
34,35,46,31,13,03,44
20,06,15,10,13,42,17
13,44,42,24,32,14,09
41,48,34,15,25,10,08
24,22,40,36,39,31,48
45,17,15,28,22,10,16
05,34,42,07,35,12,06
41,19,17,25,24,08,04
11,21,42,10,47,40,27
41,23,09,11,32,03,24
11,26,40,46,34,20,03
30,08,26,37,28,24,13
31,26,44,21,22,34,16
33,11,39,04,40,46,22
07,22,42,35,16,47,49
16,15,03,12,10,11,04
25,09,29,26,10,02,44
38,06,16,46,26,48,01
21,15,04,05,28,48,30
43,09,06,28,15,30,08
40,11,08,36,13,03,24
41,35,02,13,43,24,49
26,22,43,42,18,35,07
37,38,06,23,45,42,11
27,06,44,15,39,12,41
30,11,02,38,33,20,24
45,11,37,06,30,08,23
23,21,13,04,09,15,26
31,22,02,11,43,28,12
49,20,29,33,10,16,26
27,08,43,33,42,11,29
48,07,04,03,15,11,22
30,44,07,15,42,17,09
22,19,07,35,49,36,45
